X,Y,OBJECTID,Agency,Pro_Name,Address,Pro_type,Pro_Desc,Pro_Cost,Phase,Ownersh,Public_,Res_Units,Res_Type,Ins_Type,Rooms_H,Park_Spc,SqFoot,Cons_Type,LEED,TOD,VV_In,Green,C_Name,C_Email,C_Web,C_Phone,L_Update,Res1_Typ,CSYear,CSSeaso,CCYear,CCSeaso,BSqFtOFF,BSqFtRET,BSqFtRES,BSqFtIND,BSqFtHOT,BSqFtINS,BSqFtPar,BSqFtOth,Picture,Per_Jobs,Tem_Jobs,created_user,created_date,last_edited_user,last_edited_date
-76.62552927034389,39.28797712499744,6705,BDC,Maryland Shock Trama Critical Care Expansion,22 S Green Street,Institutional,"The University of Maryland Medical Center completed construction on a new, state-of-the-art building at the corner of Lombard and Penn Streets in Baltimore, connected to the existing Shock Trauma Center and Weinberg buildings. The expanded center includes 10 state-of-the-art operating rooms, 64 new and replacement critical care beds and new rooftop landing pad for Medevac helicopters.",176000000,Completed,Public,State,0,N/A,Healthcare,,,,Rehabilitation,Silver,Yes,No,No,BDC,info@baltimoredevelopment.com,www.baltimoredevelopment.com,410-837-9305,2017-09-21T14:18:22.000Z,N/A,2010,Spring,2013,Summer,,,,,,185000,,185000,http://www.umm.edu/expansion/images/comp_gener_build_entrance.jpg,,,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.613850858642238,39.293810108886149,6706,Downtown Partnership,Preston Gardens Restoration and Enhancement,St. Paul Street between Centre and Saratoga Street,Park & Open Space,"The Preston Garden's Restoration and Enhancement Project involves aesthetic improvements and structural repairs to the park’s retaining walls, staircases and walkways, as well as overhauling the landscape plantings throughout the park.",3500000,Under Construction,Public,City,0,N/A,N/A,0,0,0,Rehabilitation,N/A,No,No,Yes,"Downtown Partnership of Baltimore, Inc.", ,www.godowntownbaltimore.com, ,2016-10-14T18:06:48.000Z,N/A,2015,Summer,2016,Winter,0,0,0,0,0,0,0,0,https://c1.staticflickr.com/1/555/19969423955_584dfd9ba0_m.jpg, ,0,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.616307764124329,39.290949201785793,6707,Downtown Partnership,Center Plaza Renovation,Fayette and N. Charles Streets,Park & Open Space,"The Center Plaza Renovation converted a 1960's-era, hardscaped plaza into an inviting park with lawns, shade trees, ornamental plantings and a central water feature.",8500000,Completed,Public-Private,City,0,N/A,N/A,0,0,0,Rehabilitation,N/A,No,No,Yes," Downtown Partnership of Baltimore, Inc.", ,www.godowntownbaltimore.com, ,2015-03-12T13:59:46.000Z,N/A,0,,2008,Winter,0,0,0,0,0,0,0,0,http://urbanshapers.info/live/wp-content/uploads/2011/11/112011_1828_CenterPlaza22.png, ,0,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.617088683818565,39.303675033227279,6708,Downtown Partnership,The Varsity,30 W. Biddle Street,Residential,Student housing project in Midtown privately  developed by Potomac Holdings.,24500000,Completed,Private,N/A,0,Rental,N/A,0,0,0,New Construction,N/A,No,Yes,No,The Varsity, ,http://varsityatub.com/, ,2015-03-10T20:42:06.000Z,Multiple Family,2011,Spring,2013,Summer,0,5000,0,0,0,0,0,0,"http://varsityatub.com/images/gallery%2012.jpg
", ,0,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.640578482845868,39.332529772890375,6709,Planning,Union Mill,1500 Union Avenue,Mixed-Use,"Redevelopment of former warehouse for apartments, office, and retail uses.  The apartments will be marketed to new teachers.  The office space is marketed for nonprofit organizations underpining Baltimore's education, human service and health needs.",19000000,Completed,Private,N/A,54,Rental,N/A,0,130,86000,Rehabilitation,N/A,No,No, ,Michael Pokorny,Michael.Pokorny@baltimorecity.gov,,410-396-5845,2017-08-25T15:06:55.000Z,Multiple Family,2010,Spring,2011,Summer,30000,6000,62100,0,0,0,35100,0,https://farm6.staticflickr.com/5790/23342652842_a59f4c16d5_k.jpg,0,190,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.68728751773466,39.281926080175893,6710,Baltimore Housing,The Greens at Irvington Mews,4300 Frederick Avenue,Residential,New Construction of affordable housing for the elderly in the Irvington neighborhood,15600000,Completed,Public-Private,N/A,100,Rental,N/A,0,38,74515,New Construction,N/A,No,No,No,HABC,econview@baltimorecity.gov,www.habitatamerica.com,410-396-5590,2015-07-01T17:31:49.000Z,Multiple Family,2011,Fall,2012,Summer,0,0,115000,0,0,0,10260,99974,http://s5.postimg.org/95qzsizw7/Greens_at_Irvington_Mews.jpg,4,156,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.608551903804909,39.305490917670866,6711,Baltimore Housing,Lillian Jones,1303 Greenmount Avenue,Residential,New construction of a four story affordable rental housing with community space.,15000000,Completed,Private,N/A,74,Rental,N/A,0,34,65340,New Construction,N/A,No,Yes,No,HABC,econview@baltimorecity.gov,www.BaltimoreHousing.org,410-396-5562,2015-07-02T12:51:01.000Z,Multiple Family,2012,Spring,2013,Spring,0,2400,85100,0,0,0,9180,0,http://s5.postimg.org/u12rdpf07/Lillian_Jones.jpg,5,150,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.614584870495904,39.313405266346656,6712,Baltimore Housing,2301 North Charles Street,2301 N. Charles St.,Residential,Renovation of affordable housing,1300000,Completed,Public-Private,N/A,7,Rental,N/A,0,0,4708,Rehabilitation,N/A,No,Yes,No,HABC,econview@baltimorecity.gov,www.baltimorehousing.org,410-396-5590,2015-07-02T12:46:34.000Z,Multiple Family,2012,Summer,2013,Winter,0,0,8050,0,0,0,0,0,http://s5.postimg.org/5eh0adhrr/2301_North_Charles_Street.jpg,1,13,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.616301485301534,39.314733384577117,6713,Baltimore Housing,2523 Maryland Avenue,2523 Maryland Avenue,Residential,Renovation of affordable housing for persons in recovery,2600000,Completed,Public-Private,N/A,14,Rental,N/A,0,4,6750,Rehabilitation,N/A,No,Yes,No,HABC,econview@baltimorecity.gov,www.baltimorehousing.org,410-396-5590,2015-07-02T12:46:55.000Z,Multiple Family,2012,Spring,2013,Spring,0,0,16100,0,0,0,1080,12282,http://s5.postimg.org/3mao62ypj/2523_Maryland_Ave.jpg,4,26,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.614877216694595,39.288638733082522,6714,Downtown Partnership,Crowne Plaza Hotel,1 E. Redwood Street,Hotel,"150 key hotel project, with a Crowne Plaza flag.  Project will be part rehabilitation of existing historic buildings, and part new construction.
",25000000,Under Construction,Private,N/A,0,N/A,N/A,150,0,0,Rehabilitation,Silver,No,No,No,Tran Group, , , ,2015-07-24T14:20:58.000Z,N/A,2013,Winter,2015,Fall,0,5000,0,0,82500,0,0,0,https://c1.staticflickr.com/1/305/19975474861_32638910cf_m.jpg, ,250,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
